person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
1118,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar",High,Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream,1118,28
1122,b35_45,US,MSc,No Dietary Restrictions,"No goals,Eat more vegetables",Medium,Healthy,Male,Simple Carnitas,1122,149
1123,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Chicken Pot Pie IX,1123,48
1129,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Sensational Sirloin Kabobs,1129,144
1130,b35_45,US,MSc,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Coconut Shrimp I,1130,60
1131,b35_45,US,MSc,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,1131,143
1132,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Unhealthy,Female,Chicken Pot Pie IX,1132,48
1133,b25_35,US,MSc,"No Dietary Restrictions, Pescatarian, Vegetarian","Eat less salt,Eat more protein",Medium,Healthy,Male,Braised Corned Beef Brisket,1133,29
1134,b18_24,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Female,BBQ Pork for Sandwiches,1134,9
1135,b18_24,US,BA,"Diabetes, Kosher, Pescatarian","Eat less salt,Eat more fruit,Eat more vegetables",High,Healthy,Male,Baked Halibut Steaks,1135,13
1136,b25_35,US,BA,"Halal, Pescatarian",Eat more fruit,High,Healthy,Female,Coconut Shrimp I,1136,60
1137,b45_55,US,High_school,No Dietary Restrictions,No goals,Low,Healthy,Male,Tangy Turkey and Swiss Sandwiches,1137,175
1138,b25_35,US,BA,Diabetes,Eat more fruit,Very High,Healthy,Female,Italian Subs - Restaurant Style,1138,98
1139,b45_55,US,BA,Diabetes,Eat more fruit,Very High,Healthy,Female,Pizza On The Grill I,1139,120
1140,b35_45,US,MSc,No Dietary Restrictions,"Eat less sugar,Eat more vegetables",Very High,Healthy,Female,Stuffed Peppers My Way,1140,169
1141,b25_35,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Farmer's Market Vegetarian Quesadillas,1141,70
1142,b35_45,US,High_school,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Lamb Chops with Balsamic Reduction,1142,105
1143,b35_45,US,BA,No Dietary Restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pizza On The Grill I,1143,120
1144,b45_55,US,High_school,Vegetarian,"Eat more protein,Eat more vegetables,Gain weight",High,Healthy,Male,Pizza On The Grill I,1144,120
1145,b25_35,US,BA,No Dietary Restrictions,No goals,Very_Low,Very_unhealthy,Male,Cuban Midnight Sandwich,1145,63
1146,b35_45,US,MSc,Vegetarian,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Male,Grilled Sausage with Potatoes and Green Beans,1146,90
1147,b25_35,US,BA,Vegetarian,Gain weight,Medium,Healthy,Male,Linguine Pasta with Shrimp and Tomatoes,1147,107
1148,b35_45,US,BA,"Diabetes, Halal","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Baked Halibut Steaks,1148,13
