person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,category,recipe_name,healthiness,Nutri_score,fsa_score,SValue_Nor,Slabel,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition
139,b25_35,US,BA,['No dietary restrictions'],['Eat more protein'],High,Very_Healthy,Male,Meat and Poultry,Kickin' London Broil with Bleu Cheese Butter,healthy,B,8,0.690292356,Low,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Strongly_Agree,No label
140,b35_45,US,BA,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Male,Meat and Poultry,Bacon Jack Chicken Sandwich,unhealthy,B,10,0.338754507,Medium,Neutral,Agree,Agree,Disagree,Agree,Disagree,No label
141,b35_45,US,MSc,"['Diabetes', ' Vegetarian']","['Eat less sugar', 'Eat more protein']",High,Healthy,Female,Fruits and Vegetables,Simple Carnitas,healthy,D,8,0.137166994,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Agree,No label
142,b35_45,US,High_school,['No dietary restrictions'],"['Eat less salt', 'Eat less sugar', 'Gain weight']",Low,Healthy,Male,Fruits and Vegetables,Simple Carnitas,healthy,D,8,0.137166994,High,Agree,Neutral,Agree,Disagree,Agree,Disagree,No label
143,b25_35,US,High_school,['No dietary restrictions'],['No goals'],Medium,Healthy,Male,Meat and Poultry,Charley's Slow Cooker Mexican Style Meat,healthy,B,8,0.088227962,High,Neutral,Neutral,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,No label
144,b45_55,US,BA,['Diabetes'],['No goals'],High,Very_Healthy,Female,Fruits and Vegetables,Queenie's Killer Tomato Bagel Sandwich,healthy,B,8,0.095444274,High,Agree,Strongly_Agree,Agree,Agree,Agree,Strongly_Agree,No label
145,b25_35,US,BA,['Vegetarian'],['Eat less sugar'],High,Healthy,Female,Fruits and Vegetables,Queenie's Killer Tomato Bagel Sandwich,healthy,B,8,0.095444274,High,Strongly_Agree,Agree,Agree,Agree,Strongly_Agree,Disagree,No label
146,b25_35,US,BA,['Vegetarian'],['Eat more fruit'],Medium,Very_Healthy,Female,Fruits and Vegetables,Pico de Gallo Chicken Quesadillas,unhealthy,B,10,0.348773773,Medium,Neutral,Agree,Neutral,Agree,Strongly_Agree,Agree,No label
147,bover_55,US,BA,['No dietary restrictions'],['Lose weight'],Medium,Healthy,Female,Meat and Poultry,Slow Cooker Cilantro Lime Chicken,healthy,A,6,0.08028519,High,Agree,Agree,Strongly_Agree,Agree,Disagree,Agree,No label
148,b25_35,US,BA,"['Halal', ' Kosher', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein']",High,Healthy,Female,Meat and Poultry,Soul Smothered Chicken,unhealthy,B,10,0.331178529,Medium,Agree,Neutral,Agree,Agree,Neutral,Agree,No label
149,b35_45,US,BA,['Pescatarian'],['Eat more fruit'],High,Healthy,Female,Seafood Pasta and Noodles,Marinated Grilled Shrimp,healthy,A,6,0.129498689,High,Agree,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,Agree,No label
150,b18_24,US,BA,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Gain weight']",Medium,Neither_healthy_no_unhealthy,Male,Fruits and Vegetables,Grilled Tilapia with Mango Salsa,healthy,A,8,0.118788429,High,Agree,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,No label
151,b45_55,US,MSc,['Vegetarian'],['No goals'],High,Very_Healthy,Female,Seafood Pasta and Noodles,Firecracker Grilled Alaska Salmon,healthy,C,8,0.147805572,High,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,No label
152,b45_55,US,High_school,['No dietary restrictions'],['No goals'],High,Healthy,Male,Fruits and Vegetables,Queenie's Killer Tomato Bagel Sandwich,healthy,B,8,0.095444274,High,Neutral,Neutral,Agree,Agree,Disagree,Strongly_Disagree,No label
153,b25_35,US,MSc,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Healthy,Male,Fruits and Vegetables,Italian Sausage' Peppers' and Onions,unhealthy,D,10,0.267204815,Medium,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,Strongly_Agree,Neutral,No label
154,b25_35,US,BA,['No dietary restrictions'],['No goals'],High,Neither_healthy_no_unhealthy,Male,Fruits and Vegetables,Linguine Pasta with Shrimp and Tomatoes,healthy,A,5,0.362947204,Medium,Strongly_Agree,Agree,Agree,Disagree,Agree,Disagree,No label
155,b45_55,US,High_school,['No dietary restrictions'],['No goals'],Low,Neither_healthy_no_unhealthy,Female,Seafood Pasta and Noodles,Stuffed Shells III,unhealthy,C,10,0.33998259,Medium,Agree,Agree,Strongly_Agree,Disagree,Neutral,Disagree,No label
